nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0002388,Patrick J. Doody,\N,\N,"producer,writer,editor","tt6987788,tt0205900,tt1647865,tt0206397"
nm0002471,Jeanne Slater,\N,\N,"editor,editorial_department,production_manager","tt2529866,tt8338494,tt2649680,tt0422134"
nm0002547,Mark Bedrosian,\N,\N,"camera_department,cinematographer,director","tt1545520,tt6958814,tt3738134,tt1513199"
nm0002735,Robert J. Lyons,\N,\N,"producer,cinematographer,director","tt2158640,tt6087056,tt3130286,tt5599520"
nm0003672,Marco Uggiano,1969,\N,"cinematographer,camera_department,editorial_department","tt1223934,tt8884330,tt0806910,tt0115088"
nm0004259,André Kaminski,1985,\N,actor,"tt0366767,tt0806910,tt0239450,tt2133298"
nm0004512,Richard Bullock,\N,\N,"producer,production_manager,miscellaneous","tt0366348,tt0237572,tt1131750,tt0106627"
nm0004554,Ben Hernandez Bray,\N,\N,"stunts,actor,director","tt0796366,tt0371746,tt1055369,tt1601913"
nm0004777,Erin Brockovich-Ellis,1960,\N,"producer,writer,actress","tt0360261,tt11237708,tt0195685,tt6371882"
nm0004956,Anna Getty,1972,\N,"actress,producer,camera_department","tt0340147,tt0120619,tt0119548,tt0108757"
nm0004961,Vince Gill,1957,\N,"music_artist,soundtrack,actor","tt0107211,tt0126916,tt0443453,tt0110478"
nm0005185,Marla Maples,1963,\N,"actress,producer","tt0116253,tt0147612,tt0091499,tt0119142"
nm0005198,Martina McBride,1966,\N,"music_artist,soundtrack,actress","tt0163187,tt0369436,tt0198021,tt0119313"
nm0005208,Trina McGee,1969,\N,"actress,writer,producer","tt0115685,tt0105958,tt0116040,tt0293815"
nm0005210,Tim McGraw,1967,\N,"music_artist,soundtrack,actor","tt1964418,tt0434215,tt0878804,tt0390022"
nm0005213,Brian McKnight,1969,\N,"soundtrack,actor,composer","tt0144528,tt0110657,tt0800039,tt0203019"
nm0005410,Brian Setzer,1959,\N,"soundtrack,actor,composer","tt0093378,tt0285823,tt0118956,tt0110475"
nm0005461,Gwen Stefani,1969,\N,"music_artist,soundtrack,writer","tt1679335,tt0338751,tt0196229"
nm0006705,Andrew Moreau,\N,\N,"art_director,art_department,production_designer","tt3581920,tt0184907,tt0193560,tt4878326"
nm0006820,Aleks Paunovic,1969,\N,"actor,producer,stunts","tt4470266,tt4278760,tt1596350,tt3450958"
nm0006934,Sébastien Saadoun,\N,\N,"camera_department,cinematographer,producer","tt0290673,tt0281108,tt1032842,tt0364517"
nm0006993,Alex J. Johnson,1977,\N,"miscellaneous,editor,producer","tt0271259,tt2359031,tt1568288,tt0397387"
nm0007491,Bonnie Aarons,1960,\N,"actress,writer,producer","tt0166924,tt0897361,tt1045658,tt5814060"
nm0007548,Jasmin Aasland,1975,\N,actress,"tt0365399,tt0267231,tt0367432,tt0307728"
nm0007974,Greg Abbott,\N,\N,"actor,writer,producer","tt0222837,tt27759717,tt3579068,tt7520760"
nm0008456,Jean-Luc Abel,\N,\N,actor,"tt0205039,tt0104658,tt0487504,tt0105750"
nm0008511,Richard Abelardo,\N,\N,"director,special_effects,visual_effects","tt0360737,tt0764746,tt1762250,tt0777878"
nm0008592,Lisa Abend,\N,\N,actress,"tt0361897,tt0169376"
nm0008707,Guy Abgrall,\N,\N,actor,"tt0420388,tt0098534,tt1059949,tt0120494"
nm0008873,Tony Abou-Ganim,\N,\N,actor,"tt2678448,tt0426665,tt0361919,tt0120151"
nm0009319,Brad Abrell,1965,\N,"actor,miscellaneous","tt1409024,tt0316654,tt0120912,tt0119654"
nm0009457,Abou Djamel,\N,\N,actor,"tt0061751,tt0072782,tt0360397,tt7255020"
nm0009550,Bruno Alexander,\N,\N,"actor,miscellaneous","tt0095963,tt0370986,tt0086200,tt0490086"
nm0009646,Mellow Man Ace,1967,\N,"soundtrack,actor,composer","tt0415345,tt0100480,tt0250224,tt0100114"
nm0010206,Juan Acosta,1957,\N,actor,"tt2484530,tt0226721,tt0360521,tt0105744"
nm0010232,Octávio Acosta,\N,\N,actor,"tt0368939,tt0086912,tt0434173,tt0437471"
nm0011289,Rhonda Adams,1971,\N,actress,"tt1401898,tt0216094,tt0159879,tt0146838"
nm0011348,Seth Adams,1977,\N,"actor,art_department,location_management","tt1870568,tt1155587,tt3289728,tt0233559"
nm0011459,Ray Adamski,\N,\N,"actor,art_department","tt0097390,tt0352639"
nm0011801,Maria Adélia,\N,\N,actress,"tt0143037,tt0142038,tt0353987,tt0353267"
nm0011874,Orly Adelson,\N,\N,"producer,director,executive","tt2604420,tt1810776,tt27209804,tt2125640"
nm0012015,Lawrence B. Adisa,1968,\N,"actor,producer,writer","tt0112688,tt0106079,tt14898414,tt8318910"
nm0012782,Peter Afterman,\N,\N,"music_department,producer,composer","tt1070874,tt0271367,tt2473602,tt0467406"
nm0012885,Megan B. Agosto,\N,\N,"editorial_department,editor,production_manager","tt0112722,tt0243736,tt0119978,tt0252076"
nm0013651,Luis Aguilé,1936,2009,"soundtrack,actor,writer","tt0298845,tt1161411,tt5169072,tt0361006"
nm0014349,Carina Ahrle,1941,\N,"costume_designer,actress,costume_department","tt0066668,tt0077022,tt0078957,tt0359447"
nm0014470,Jun Aida,\N,\N,"producer,miscellaneous,actor","tt0328832,tt0267024,tt0111301,tt0173840"
nm0014673,Danny Ainge,1959,\N,actor,"tt7720972,tt2055269,tt0306069,tt0117705"
nm0015248,Damian Akhavi,\N,\N,"producer,miscellaneous,editorial_department","tt0155425,tt0284867,tt0300470,tt0365653"
nm0015352,Svetlana Akimova,\N,\N,actress,"tt0151791,tt0440944,tt1239426,tt1731775"
nm0015500,Colin Akoon,1975,\N,"camera_department,cinematographer,editor","tt10473150,tt7260052,tt13382698,tt8462412"
nm0015513,Vrezh Hakobyan,1938,\N,actor,"tt0363738,tt5377706,tt0364136,tt0406838"
nm0015806,Socrates Alafouzos,\N,\N,"actor,director,writer","tt4557714,tt8404094,tt1976000,tt4364202"
