tconst,directors,writers
tt0019870,nm0006276,"nm0046947,nm0048758,nm0226501,nm0519079"
tt0073175,nm0669354,"nm0366875,nm0669354"
tt0101471,nm0576239,"nm0208051,nm0325515,nm0929729"
tt0153552,nm0024589,nm0024589
tt0184895,nm0292588,nm0292588
tt0187117,nm3400562,\N
tt0195438,nm0192497,"nm5641410,nm0561067,nm0765358"
tt0245750,nm0478982,\N
tt0245751,nm0783865,nm0783865
tt0245755,nm0419680,"nm0664084,nm0664085"
tt0245757,nm0713163,\N
tt0245759,nm0510666,"nm0130165,nm0510666"
tt0245760,nm0887018,nm0887018
tt0245761,nm0250034,"nm0292134,nm0480674,nm0687741,nm0906080"
tt0245764,nm0131887,nm0131887
tt0245767,nm0166259,nm0907778
tt0245768,nm0044658,"nm0044658,nm12704165"
tt0245769,nm0097918,nm1302026
tt0245771,nm0226992,nm0922286
tt0245772,nm0201897,\N
tt0245775,nm0851281,"nm0378851,nm0851281"
tt0245776,nm8874206,\N
tt0245783,\N,\N
tt0245785,\N,\N
tt0245786,\N,\N
tt0245788,nm0909602,"nm1047630,nm0995931,nm0909602"
tt0245792,nm0349722,"nm0251935,nm0742236,nm0744985"
tt0245794,nm0851537,nm0851537
tt0245796,nm0914923,nm0381280
tt0245799,nm0799302,nm0404955
tt0245803,nm0402995,"nm0717550,nm0903456"
tt0245806,nm0634116,\N
tt0245807,nm0153713,\N
tt0245809,nm0299684,nm0299684
tt0245810,nm2988849,\N
tt0245811,nm0397834,"nm0317319,nm0730018,nm0737259"
tt0245813,nm0097918,\N
tt0245814,nm0843043,nm0843043
tt0245824,nm0684314,"nm0684314,nm0665982"
tt0245825,nm0223522,"nm1178114,nm0415514,nm1182352"
tt0245826,nm0004630,"nm0004470,nm0766162,nm0756580"
tt0245827,nm0706484,"nm0664085,nm0664084"
tt0245828,nm0710615,nm0838429
tt0245829,nm0417386,"nm0417386,nm0539859"
tt0245830,nm0151546,"nm1193605,nm2326820"
tt0245832,nm0619056,"nm6497450,nm0619056,nm10021012"
tt0245833,nm0707393,\N
tt0245834,nm0836679,"nm0155783,nm0764956,nm0836679"
tt0245835,nm0348015,"nm0045069,nm0348015"
tt0245836,nm0003178,nm0884131
tt0245837,nm0407990,"nm0158646,nm0437620,nm0453623"
tt0245840,\N,nm0695422
tt0245841,nm0842054,"nm0266843,nm0686974,nm0000636"
tt0245842,nm0882059,"nm0452668,nm0579341"
tt0245844,nm0721817,"nm0241416,nm0938684"
tt0245846,nm0192698,"nm0017855,nm0134430"
tt0245848,nm0617767,"nm0049462,nm0417355,nm0477755,nm0501872"
tt0245849,"nm0479001,nm0824425","nm0479001,nm0824425"
tt0245850,nm0174903,nm0174903
tt0245851,nm0482288,\N
tt0245852,nm0619059,nm0038010
tt0245854,nm0619102,\N
tt0245855,nm0837099,"nm0059566,nm0837099"
tt0245856,nm0823088,nm0823088
tt0245857,nm0172826,"nm0172826,nm1199312"
tt0245858,nm0155117,"nm0152638,nm0865847"
tt0245860,nm0107943,"nm0107943,nm0391741,nm0500968"
tt0245862,nm0670937,"nm0228986,nm0670937"
tt0245863,"nm0307894,nm0959193,nm0272222","nm0272222,nm0307894,nm0959193"
tt0245865,nm0151546,\N
tt0245866,nm0561879,"nm0003676,nm0289696"
tt0245870,nm0636890,\N
tt0245871,nm0004630,"nm1347553,nm0004630,nm0664085,nm0664084"
tt0245872,nm0004630,"nm0004470,nm0004630,nm0766463"
tt0245873,nm0509633,nm0996077
tt0245874,nm0701928,"nm0145713,nm0261007"
tt0245877,nm0004250,nm0004250
tt0245881,nm0619102,\N
tt0245882,nm0426310,nm0140562
tt0245883,"nm0757824,nm0951145",\N
tt0245891,nm0360283,"nm0360283,nm0221967"
tt0245892,nm0947998,"nm2017870,nm0095935"
tt0245896,nm0373033,nm0373033
tt0245900,nm0296962,nm0296962
tt0245901,nm0615247,"nm0205169,nm7897643,nm0615247"
tt0245903,nm3810616,\N
tt0245904,nm0004677,"nm0129515,nm0490381"
tt0245905,nm0313531,nm0313531
tt0245906,nm1084056,\N
tt0245907,nm0235113,nm0235113
tt0245908,"nm0451432,nm0392152",\N
tt0245910,nm0361776,"nm1956924,nm0361776"
tt0245911,nm0044658,"nm0044658,nm0664084,nm0664085"
tt0245914,nm0738001,"nm0381636,nm0928940"
tt0245916,nm1740285,"nm0334224,nm0003358"
tt0245917,nm0706484,"nm0890864,nm0664085,nm0664084"
tt0245918,nm0045256,"nm0623967,nm0065638,nm0045256"
tt0245920,nm0935716,nm0935716
tt0245922,nm0619102,\N
tt0245924,nm0004630,"nm12180478,nm0004630,nm0766463"
tt0245928,"nm0542477,nm1400930",nm0000925
tt0245929,nm0422638,"nm0422638,nm0508413,nm0515045,nm0793011,nm0795516,nm0949163"
tt0245931,nm0398991,\N
tt0245932,nm0000545,nm0926474
tt0245934,nm0931724,nm0491613
tt0245935,nm0619102,\N
tt0245936,\N,\N
tt0245941,nm0257681,nm0257681
tt0245942,nm0044658,\N
tt0245943,nm0720411,nm0720411
tt0245944,nm0836909,"nm0963368,nm0796504,nm0478353"
tt0245947,nm0897045,"nm0140403,nm0730648,nm0508771,nm0897045"
tt0245959,"nm0620796,nm3273929","nm0754164,nm0326553"
tt0245961,nm0706484,"nm0707287,nm0045069"
tt0245962,nm0080277,\N
tt0245967,nm0192333,nm0192333
tt0245970,nm0375469,nm0154688
tt0245972,nm0707952,"nm0707952,nm0326553"
tt0245974,nm0560400,nm0560400
tt0245977,nm0619102,nm1532756
tt0245978,nm0619056,"nm0619056,nm4946851,nm1142495"
tt0245979,nm0766461,nm0766461
tt0245980,nm0004630,"nm0326553,nm0004630,nm0766463"
tt0245981,nm0604704,\N
tt0245982,nm0604704,\N
tt0245983,nm0604704,nm0771175
tt0245985,nm0274001,\N
tt0245990,nm0765873,nm0536820
tt0245994,nm0619102,"nm0011996,nm1099583"
tt0245995,nm0004630,"nm0766162,nm0004470"
tt0245997,nm0004630,"nm0664084,nm0664085"
tt0245998,nm0044658,\N
tt0246000,nm0053556,"nm0131514,nm0831794"
tt0246002,nm0570408,"nm0098746,nm0428377"
tt0246003,nm0004630,nm0766463
tt0246005,nm0904901,"nm0396204,nm0904901"
tt0246007,nm0613517,"nm0664085,nm0664084,nm0766463"
tt0246008,nm0004630,"nm0664085,nm0664084,nm0004470"
tt0246009,nm0706484,"nm0664085,nm0664084"
tt0246010,nm0890862,\N
tt0246011,nm0654908,nm0611971
tt0246012,nm0654908,\N
tt0246013,nm0587036,nm0587036
tt0246014,nm0587036,nm0587036
tt0246015,nm0587036,nm0587036
tt0246016,nm0587036,nm0587036
tt0246017,nm0587036,nm0587036
tt0246018,nm0587036,nm0587036
tt0246019,nm0587036,nm0587036
tt0246020,nm0587036,nm0587036
tt0246021,nm0900516,nm0900516
tt0246023,nm0788874,\N
tt0246027,nm0825005,nm1557884
tt0246032,nm0201927,nm0201927
tt0246033,nm0619102,\N
tt0246037,"nm0204466,nm0834122","nm0204466,nm0834122"
tt0246044,nm0056492,"nm0810067,nm0271066,nm0940846,nm0309062"
tt0246046,nm0045116,"nm2218537,nm0045116,nm0049397"
tt0246047,nm0595586,\N
tt0246049,nm0021652,\N
tt0246052,nm0044658,\N
tt0246053,nm0044658,\N
tt0246054,nm0759018,nm0759018
tt0246057,nm0044658,\N
tt0246059,nm0619056,"nm0619053,nm1311397"
tt0246062,nm0706484,nm0363628
tt0246063,nm0163706,"nm1072425,nm0634445,nm1070708,nm0953650"
tt0246064,nm0004630,"nm0004470,nm0004630,nm0756580"
tt0246066,nm0351548,nm0351548
tt0246070,nm0471452,"nm0471452,nm0707287,nm0766463"
tt0246071,nm0503793,"nm0316363,nm0503793,nm0805248"
tt0246072,nm0001555,"nm0924540,nm0001555,nm0120961"
tt0246073,nm0044584,"nm0766463,nm0044584"
tt0246074,nm0731910,nm0140562
tt0246075,nm0821249,nm0778574
tt0246076,nm0184899,nm0184899
tt0246077,nm0732218,\N
tt0246078,nm0176496,"nm1547722,nm0176496"
tt0246080,\N,\N
tt0246081,nm0441591,\N
tt0246082,nm0563183,"nm0563183,nm0797631"
tt0246083,nm1182241,\N
tt0246086,nm0619102,nm0659760
tt0246089,nm0706484,nm0766463
tt0246090,nm0706484,nm0766463
tt0246091,nm0237866,"nm0765859,nm0701681"
tt0246095,nm0004630,"nm0707287,nm0664085,nm0664084"
tt0246098,nm0619056,"nm13561910,nm13680028,nm0619056,nm7974117"
tt0246103,nm0851237,\N
tt0246106,nm0619056,"nm6497450,nm0439784,nm12290644,nm13946614"
tt0246108,nm0798926,nm0798926
tt0246109,nm0482321,"nm1918288,nm0326553"
tt0246114,nm0004630,"nm1934254,nm0766463"
tt0246115,nm0619056,"nm10410739,nm13680028,nm13639285,nm0619056"
tt0246117,nm0004300,\N
tt0246119,nm0526732,"nm0302121,nm0526732"
tt0246124,nm0006436,\N
tt0246130,nm0049380,\N
tt0246134,nm0146341,"nm0072032,nm0000410"
tt0246135,"nm0729626,nm0771535","nm0729626,nm0771535,nm0051304"
tt0246136,nm0864530,nm0864530
tt0246137,nm0802933,nm0471810
tt0246140,nm0087667,nm0087667
tt0246141,nm0467693,\N
tt0246143,nm0653458,\N
tt0246144,nm0004630,"nm0269778,nm0004630,nm0417386"
tt0246145,nm0044658,\N
tt0246146,nm0209531,"nm0815296,nm0209531"
tt0246147,nm0877427,nm0925317
tt0246149,nm0151546,\N
tt0246154,nm0295431,"nm4080245,nm0778158,nm0295431"
tt0246156,nm0648900,nm0648900
tt0246157,nm0905376,nm0905376
tt0246158,nm0581170,"nm0495962,nm0581170,nm0688143"
tt0246159,nm0948601,nm0948601
tt0246162,nm0890862,nm2217836
tt0246163,nm0619056,"nm1634434,nm0619056,nm1963492"
tt0246164,nm0441591,\N
tt0246165,nm0004630,"nm0097897,nm0766463"
tt0246166,nm0158356,"nm0158356,nm0326553,nm1138093"
tt0246169,nm0158356,\N
tt0246170,nm0607140,nm0607140
tt0246171,nm0546765,"nm0087650,nm0152501,nm0224482"
tt0246175,nm0080242,\N
tt0246176,nm0201897,nm0766463
tt0246177,nm0790934,nm0618510
tt0246180,nm0320261,nm0320261
tt0246182,nm0726926,"nm1421248,nm2595532,nm0726926,nm2596806"
tt0246183,nm1335449,\N
tt0246184,nm0684314,"nm0684314,nm0766463"
tt0246185,nm0619102,\N
tt0246186,nm0004630,"nm0004470,nm0363628"
tt0246187,nm0021652,\N
tt0246188,nm0004630,"nm0004470,nm0004630,nm0766463"
tt0246189,nm0619101,nm0619101
tt0246190,nm0619102,\N
tt0246197,nm0646973,"nm0219371,nm0646973"
tt0246198,nm0707952,\N
tt0246199,nm0882098,nm0882098
tt0246200,nm0126906,nm0203083
tt0246202,nm0201897,"nm0664084,nm0664085"
tt0246203,nm0706484,nm0766463
tt0246204,nm0706484,"nm0004470,nm0766463"
tt0246205,nm0921421,nm0921421
tt0246206,nm0004630,"nm12180478,nm0766463"
tt0246207,nm0605583,nm0605583
tt0246208,nm0525599,"nm0297488,nm0883570"
tt0246212,nm0619102,\N
tt0246213,nm0613517,"nm0664084,nm0664085"
tt0246215,nm0619056,"nm6497450,nm13680028,nm0619056,nm13737597"
tt0246218,nm0619059,\N
tt0246226,nm0451008,"nm0451008,nm0972747"
tt0246228,nm0742204,nm0742204
tt0246229,nm0619102,\N
tt0246230,nm0004630,nm0766463
tt0246231,nm0569334,nm0569334
tt0246232,nm0619059,\N
tt0246233,"nm0565402,nm0576043","nm0565402,nm0576055"
tt0246234,nm0707952,\N
tt0246235,nm0788874,\N
tt0246237,nm0825005,"nm1557884,nm0837097"
tt0246238,nm0850184,nm0850184
tt0246240,nm0433893,"nm3909404,nm0592794,nm1195712,nm0433893"
tt0246241,nm0938776,"nm0420285,nm0938776"
tt0246249,nm0389914,nm0903883
tt0246251,nm0482321,\N
tt0246252,nm0441591,\N
tt0246253,\N,nm2304854
tt0246254,nm0044584,"nm0664085,nm0664084"
tt0246255,nm0004470,"nm0004470,nm0664085,nm0664084,nm0363628"
tt0246258,nm0899649,"nm0326553,nm0899649"
tt0246260,nm0619056,"nm11012858,nm7174941"
tt0246261,nm0619102,"nm1540958,nm0659760"
tt0246262,nm0899649,"nm0417386,nm0899649"
tt0246265,nm0449884,nm0449884
tt0246266,nm0538533,"nm0538532,nm0538533,nm2302158"
tt0246267,nm0473648,\N
tt0246268,nm0659898,"nm2519655,nm0659898,nm0901063"
tt0246269,nm0619102,\N
tt0246270,nm0583800,nm0579566
tt0246271,nm0451778,\N
tt0246272,\N,nm0003474
tt0246273,nm0451989,nm0515360
tt0246274,nm0619059,\N
tt0246275,nm0695256,"nm0714765,nm12160527"
tt0246276,nm0619102,\N
tt0246277,nm0619101,"nm0009780,nm0619101"
tt0246278,nm0491774,nm0491774
tt0246279,nm0851237,\N
tt0246280,nm0706484,nm0766463
tt0246281,nm0890862,\N
tt0246286,nm0619102,"nm0038010,nm1224716,nm1563127"
tt0246290,nm0004630,"nm0538300,nm0004470,nm0766463"
tt0246294,"nm0616893,nm0925028",\N
tt0246295,nm0087667,nm0087667
tt0246300,nm0198765,nm0342099
tt0246304,nm0619059,\N
tt0246305,nm0753591,"nm0026153,nm0753591,nm0776507"
tt0246312,nm0244011,nm0932820
tt0246313,nm0004630,"nm0004630,nm0664085,nm0664084"
tt0246314,nm0002862,\N
tt0246315,nm0004630,"nm1661901,nm0417386"
tt0246318,nm0126898,"nm0126898,nm0192498,nm0431402,nm0719232"
tt0246319,nm0258007,nm0289448
tt0246321,nm0031888,nm0031888
tt0246322,nm0619102,\N
tt0246323,nm0548059,"nm0418365,nm0627883"
tt0246325,nm0191920,nm0191920
tt0246332,nm0316592,nm0009059
tt0246338,nm0080242,\N
tt0246339,nm0684314,"nm0684314,nm0766463"
tt0246342,nm0706484,nm0363628
tt0246345,nm0228895,\N
tt0246346,nm0119126,nm0119126
tt0246347,nm0303582,"nm0303582,nm0757824,nm0951145"
tt0246348,"nm0720570,nm0724829","nm0720570,nm0724829"
tt0246349,"nm0500722,nm0160108,nm0458242,nm0533251,nm0583800,nm0631652,nm0771942,nm0926872,nm0753961","nm0378075,nm0542388,nm0730648,nm0592917,nm0774124,nm0358905,nm1802623,nm0753961,nm0202691,nm0400049,nm0065336,nm1807881,nm0270617,nm0597373,nm0679521,nm0775700,nm0778281"
tt0246351,nm0917513,nm0675588
tt0246352,"nm0477623,nm0090596,nm0013044,nm0096508",nm0477623
tt0246353,nm0004541,"nm0190930,nm0866243"
tt0246354,\N,"nm0385630,nm0443373"
tt0246355,nm0562942,nm0013381
tt0246357,nm0522634,nm0522634
tt0246358,"nm3428196,nm0733123",\N
