tconst,averagerating,numvotes
tt0126669,5.4,17
tt0152448,5.0,7
tt0282359,4.6,11
tt0384754,3.7,139
tt0384758,4.8,33
tt0384759,7.7,1158
tt0384761,7.5,7
tt0384766,8.7,179067
tt0384767,7.1,250
tt0384769,8.4,52
tt0384771,7.6,21
tt0384773,6.6,20
tt0384775,7.6,195
tt0384776,6.1,25
tt0384778,2.9,43
tt0384779,7.3,72
tt0384782,8.6,5
tt0384783,8.7,703
tt0384784,6.4,15
tt0384786,6.7,121
tt0384787,7.0,46
tt0384788,7.3,9
tt0384790,6.5,10
tt0384792,4.7,200
tt0384793,6.4,137502
tt0384794,6.5,10
tt0384795,6.1,40
tt0384798,4.8,131
tt0384801,4.8,16
tt0384802,7.2,19
tt0384803,1.8,359
tt0384804,5.6,159
tt0384806,5.9,115147
tt0384810,6.4,4422
tt0384811,4.9,19
tt0384812,7.6,5
tt0384814,5.7,9944
tt0384818,8.5,7
tt0384819,6.8,15020
tt0384821,6.3,6
tt0384822,5.9,21
tt0384825,7.4,22
tt0384827,6.9,10
tt0384828,4.5,16
tt0384829,5.7,20
tt0384830,6.4,21
tt0384831,6.5,10
tt0384832,5.7,1498
tt0384833,4.7,5438
tt0384834,8.0,52
tt0384838,5.8,35
tt0384841,2.9,13
tt0384844,3.9,298
tt0384847,5.1,163
tt0384849,6.4,9
tt0384851,8.5,22
tt0384852,6.9,16
tt0384853,7.1,13
tt0384858,8.0,7
tt0384859,8.2,17
tt0384861,7.0,37
tt0384863,7.0,12
tt0384864,5.7,25
tt0384869,5.8,47
tt0384870,6.1,12
tt0384874,3.8,6
tt0384875,6.9,39
tt0384881,7.3,44
tt0384886,5.1,11
tt0384888,9.2,20
tt0384891,6.2,36
tt0384894,4.8,7
tt0384897,7.7,22
tt0384901,7.1,24
tt0384902,5.3,9
tt0384908,5.1,277
tt0384914,8.0,20
tt0384915,5.5,26
tt0384916,5.4,6
tt0384917,3.3,8
tt0384919,6.0,57
tt0384923,7.6,133
tt0384924,6.0,7
tt0384929,6.4,2465
tt0384930,5.7,8
tt0384931,6.6,12
tt0384934,6.7,7
tt0384937,7.0,14
tt0384941,8.9,27
tt0384944,9.1,15
tt0384945,6.7,125
tt0384947,6.9,20
tt0384948,6.5,18
tt0384951,6.9,16
tt0384955,7.1,9
tt0384958,6.1,9
tt0384964,5.8,62
tt0384965,7.5,19
tt0384967,2.1,28
tt0384970,4.7,105
tt0384971,6.6,9
tt0384972,7.4,10
tt0384974,5.8,17
tt0384985,4.6,45
tt0384991,5.7,194
tt0384994,6.4,61
tt0384999,7.8,44
tt0385002,7.4,157480
tt0385004,7.5,114773
tt0385006,6.1,657
tt0385009,7.4,6
tt0385010,7.3,24
tt0385012,4.2,8
tt0385013,6.1,2006
tt0385017,7.4,7757
tt0385018,7.9,13
tt0385025,6.4,32
tt0385027,8.6,16
tt0385033,6.4,24
tt0385035,6.3,11
tt0385038,6.2,13
tt0385041,4.3,19
tt0385044,5.7,49
tt0385046,5.6,8
tt0385048,6.9,314
tt0385050,6.2,63
tt0385051,6.5,213
tt0385053,4.5,31
tt0385055,5.8,7
tt0385056,6.5,8020
tt0385057,5.2,8000
tt0385058,7.7,9
tt0385059,7.2,30
tt0385061,3.9,65
tt0385065,5.8,11
tt0385073,8.5,664
tt0385074,6.4,75
tt0385076,6.0,10
tt0385077,5.8,226
tt0385079,6.4,12
tt0385080,7.5,12
tt0385082,8.3,35
tt0385087,6.3,12
tt0385090,6.2,51
tt0385092,5.0,297
tt0385093,7.6,69
tt0385097,8.2,7
tt0385101,8.5,8
tt0385103,5.5,62
tt0385105,8.4,33
tt0385106,4.0,26
tt0385108,6.6,424
tt0385111,5.8,6
tt0385115,4.4,170
tt0385118,3.9,7
tt0385120,7.5,23
tt0385122,5.9,12
tt0385124,8.2,19
tt0385128,3.2,10
tt0385129,7.4,13
tt0385132,5.4,6
tt0385135,7.9,23
tt0385137,7.9,69
tt0385139,5.8,7
tt0385141,7.7,59
tt0385142,5.1,18
tt0385144,8.3,8
tt0385154,5.5,17
tt0385155,5.1,16
tt0385157,8.9,42
tt0385160,7.5,39
tt0385161,8.2,23
tt0385162,6.4,320
tt0385163,6.3,641
tt0385164,6.5,17
tt0385165,7.0,26
tt0385166,7.5,84
tt0385167,7.5,18
tt0385169,5.2,26
tt0385173,6.4,123
tt0385175,8.4,19
tt0385176,7.0,22
tt0385178,7.8,1035
tt0385180,9.1,18
tt0385183,3.6,689
tt0385184,7.7,13
tt0385188,9.1,37
tt0385189,7.2,114
tt0385191,4.2,19
tt0385193,9.4,12
tt0385195,4.4,36
tt0385199,9.5,29
tt0385202,6.5,171
tt0385205,7.2,19
tt0385206,7.5,33
tt0385210,8.1,18
tt0385212,6.9,11
tt0385213,4.6,590
tt0385215,6.5,16
tt0385216,6.4,14
tt0385217,8.7,8
tt0385218,3.1,877
tt0385221,7.0,6
tt0385222,7.1,73
tt0385226,5.2,16
tt0385234,5.0,7
tt0385236,6.2,5
tt0385243,6.5,277
tt0385250,6.1,10
tt0385251,7.7,29
tt0385253,7.5,17
tt0385255,5.3,508
tt0385257,6.5,15
tt0385262,3.8,12
tt0385265,5.8,18
tt0385266,5.5,21
tt0385267,6.5,56031
tt0385270,5.4,31
tt0385273,5.4,10
tt0385274,6.7,118
tt0385275,7.4,179
tt0385276,6.5,111
tt0385277,7.5,9114
tt0385278,5.8,2627
tt0385281,7.2,8
tt0385284,6.2,11
tt0385287,8.7,8
tt0385289,6.3,47
tt0385290,6.8,25
tt0385291,7.3,119
tt0385292,6.8,210
tt0385298,6.4,13
tt0385299,5.8,41
tt0385301,7.9,23
tt0385304,5.8,13
tt0385305,7.5,14
tt0385307,5.1,78351
tt0385308,6.8,20
tt0385309,7.6,21
tt0385310,5.2,17
tt0385312,7.8,7
tt0385313,7.2,24
tt0385316,6.6,39
tt0385317,9.4,9
tt0385319,6.1,41
tt0385322,8.0,53
tt0385323,6.9,47
tt0385326,3.2,20
tt0385330,7.5,136
tt0385331,7.5,10
tt0385332,4.8,46
tt0385338,8.4,38
tt0385339,6.6,35
tt0385342,3.2,146
tt0385344,6.9,92
tt0385345,9.1,23
tt0385346,4.6,247
tt0385347,5.9,15
tt0385348,4.5,13
tt0385351,3.1,1836
tt0385355,6.8,75
tt0385357,5.0,28
tt0385360,6.7,79
tt0385361,5.3,23
tt0385363,5.6,1195
tt0385365,5.8,6
tt0385367,7.7,20
tt0385368,5.8,16
tt0385370,2.8,8
tt0385371,5.6,6
tt0385372,7.4,79
tt0385374,1.6,60
tt0385382,2.3,15
tt0385384,6.8,206
tt0385386,8.1,244
tt0385387,7.3,421
tt0385388,6.2,65
tt0385390,6.7,10
tt0385391,4.7,18
tt0385392,7.4,42
tt0385393,7.0,6
tt0385396,8.6,104
tt0385397,4.1,18
tt0385399,7.4,146
tt0385400,5.6,557
tt0385401,6.5,147
tt0385405,7.9,504
tt0385406,8.0,217
tt0385407,6.2,13
tt0385409,8.3,24
tt0385410,4.8,84
tt0385411,8.0,680
tt0385412,7.1,10
tt0385415,4.8,10
tt0385416,5.8,15
tt0385417,6.4,17
tt0385421,6.6,108
tt0385423,8.9,29
tt0385424,8.0,14
tt0385426,8.4,3688
tt0385427,5.3,24
tt0385430,7.7,169
tt0385434,7.8,11
tt0385435,7.3,17
tt0385438,7.2,326
tt0385439,7.8,17
tt0385442,6.9,28
tt0385445,7.6,11
tt0385446,4.2,8
tt0385447,8.0,28
tt0385453,7.3,13
tt0385456,5.2,11
tt0385457,7.6,7
tt0385458,6.9,18
tt0385459,3.6,149
tt0385460,6.0,90
tt0385462,2.6,137
tt0385463,8.4,52
tt0385464,7.5,13
tt0385467,7.8,26
tt0385469,8.5,9
tt0385471,7.5,18
tt0385472,7.2,9
tt0385478,7.6,12
tt0385481,5.3,8
tt0385482,8.2,319
tt0385483,1.4,164
tt0385484,5.9,15
tt0385485,5.2,19
tt0385486,7.6,14
tt0385488,5.8,89
tt0385494,7.4,10
tt0385496,8.1,19
tt0385498,4.0,10
tt0385501,4.3,55
tt0385503,7.4,42
tt0385505,5.1,17
tt0385508,9.8,27
tt0385510,7.0,21
tt0385511,5.5,164
tt0385513,7.1,98
tt0385515,5.9,36
tt0385524,4.5,256
tt0385525,8.6,16
tt0385526,5.8,15
tt0385527,6.5,19
tt0385530,6.4,33
tt0385531,5.7,82
tt0385533,7.1,63
tt0385534,7.7,158
tt0385535,6.6,20
tt0385536,8.1,17
tt0385538,5.3,52
tt0385541,5.3,34
tt0385543,3.7,183
tt0385545,5.6,21
tt0385547,8.3,56
tt0385548,6.4,596
tt0385552,8.7,91
tt0385558,6.5,25
tt0385559,6.2,6
tt0385560,4.1,5238
tt0385562,8.0,11
tt0385563,4.9,109
tt0385564,5.2,96
tt0385565,7.8,79
tt0385566,10.0,5
tt0385567,6.4,3352
tt0385568,6.5,2684
tt0385569,7.1,283
tt0385571,8.5,12
tt0385573,6.3,37
tt0385575,7.4,13
tt0385584,6.9,8
tt0385586,7.6,5739
tt0385587,5.7,32
tt0385592,4.4,621
tt0385594,6.3,34
tt0385596,6.4,11
tt0385597,7.6,9
tt0385598,3.0,376
tt0385599,5.0,161
tt0385601,7.4,5
tt0385602,4.4,23
tt0385603,6.2,11
tt0385604,6.7,12
tt0385605,6.7,70
tt0385607,8.7,8
tt0385611,7.1,13
tt0385612,6.3,8
tt0385614,9.2,19
tt0385615,8.4,10
tt0385617,5.4,30
tt0385619,6.0,7
tt0385620,5.6,11
tt0385621,4.0,12
tt0385622,3.7,899
tt0385623,3.7,55
tt0385626,7.0,13
tt0385635,6.9,1161
tt0385637,9.2,321
tt0385638,6.5,626
tt0385639,4.3,2563
tt0385648,3.1,32
tt0385651,6.2,17
tt0385652,7.9,15
tt0385655,5.2,26
tt0385656,5.0,170
tt0385658,4.6,20
tt0385659,8.0,11
tt0385660,7.1,67
tt0385663,7.4,13
tt0385664,6.7,92
tt0385666,6.9,121
tt0385667,3.3,86
tt0385668,6.9,364
tt0385669,3.6,11
tt0385671,4.8,26
tt0385672,8.5,11
tt0385674,7.7,24
tt0385675,7.5,20
tt0385676,5.0,215
tt0385677,5.8,1179
tt0385683,5.1,361
tt0385687,7.2,8
tt0385688,5.8,84
tt0385690,7.5,33161
tt0385691,6.2,28
tt0385694,7.2,8
tt0385698,7.6,5
tt0385700,7.2,57390
tt0385703,6.9,2300
tt0385705,6.8,32016
tt0385710,7.2,11
tt0385711,4.9,16
tt0385715,5.7,18
tt0385716,4.8,354
tt0385717,5.4,19
tt0385722,8.8,16
tt0385723,6.6,34
tt0385725,8.1,16
tt0385726,7.2,47848
tt0385727,5.4,319
tt0385731,5.6,79
tt0385734,8.0,8
tt0385735,7.7,30
tt0385737,4.1,179
tt0385738,5.7,1124
tt0385741,8.1,17
tt0385747,7.6,27
tt0385748,4.8,291
tt0385751,5.4,4875
tt0385752,6.1,193548
